benefitsReview,binary_sentiment
"weight loss right away.  I felt it working in brain right away, but lost the efficacy when I built my tolerance.  My MD gave me more and the same thing happened.

Meds don't cure add 100%, so now I take supplements.",negative
This drug has changed my life.  I have had severe headaches most of my adult life- Imitrex takes the headaches away.  The only downside is that the drug causes me to be a bit drousy.,positive
"He was able to go to college and while he still wasn't the greatest student, he managed to get all assignments in on time. He rarely skipped classes. This was not at all true when he was in high school (prior to starting the medication.)",positive
On Zocor my total cholesterol was lowered below 200 and my LDL was lowered below 100. I currently take Zocor 40mg and could probably reduce the amount I take to 20mg if I would dedicate myself to a serious diet and exercise program. I am a nurse and work nights so this is difficult. Zocor has kept my cholesterol down and reduced my risk for cardiovascular problems.,positive
"The treatment seemed to help considerably with the generalized brain 'fuzziness', lack of focus, fatigue and irrational mood swings that I had experienced on every other non-Zyban supported attempt to quit smoking. The treatment dramatically lessened the effect of nicotine withdrawal, or at least its perception, such that any reflexive craving to smoke was manageably overcome until the habit was finally broken.",positive
"I was hospitalized in January for suicidal thoughts/attempts. At the time, I had been diagnosed with clinical depression and prescriped antidepressants only. They would induce mania and I was totally out of control, so much so that I pretty much lost all of my friends and went through a divorce. At the hospital, I was diagnosed as bipolar and since taking Lamotrogine with Effexor, I've had no thoughts of suicide or cutting, which I used to do often.",positive
Essentially there were no identifiable treatment benefits.,negative
"The treatment benefits were to counteract underactive thyroid conditions. Specifically, it kept my metabolism from being too slow, which meant that it diminished face swelling, kept my skin and hair from becoming dry, and from me feeling unusually cold and tired.",positive
assisted with stopping smoking,positive
Relief for my nasal clogging and breaht normally. Works great!,positive
This muscle relaxer allowed me to sleep at night and wake up without a stiff neck. I was not in pain any longer at night.,positive
I immediately felt my mood swings and irritability disappear and I became a nicer person again overnight. My partner noticed it immediately and I noitced it in myself. I havn't cried at all and  although I don't feel depressed it's more that all my feelings have been numbed! I feel that nothing affects me and that I am better able to cope day to day.,positive
"I started taking 30 MG's of Lipitor for one year; the next year I reduced to 20 MG's and have done so well, I am now (and for the past 3 yrs.) on 10 MGs per day. I have no side effects at all from this drug; and have blood workup done yearly.",positive
"Good cognitive enhancer.  I like that the effects come on very subtly and they also go away in the same manner.  I don't like to feel like I need a prescription which has no other (yet) proven benefits in long term cognition, I hope to either find another supplement to do something similar or see some research which shows Provigil has many more benefits than it does drawbacks.",positive
made the condition tolerable so that I could work.  I am highly allergic to poison ivy and it lingers usually for three weeks.  On these drugs I was down to under two weeks and could still work.  Totally controlled the weeping.,positive
Male patern baulding was reversed significantly.,positive
I felt no pain from the extraction on the Vicodin.,positive
"decrease in acne, and less oil in skin and hair",positive
"The benefits of treatment were a lifting of depression, specifically as it relates to Wellbutrin, to elevate the ceiling of emotions. It also had a midly energizing effect.",positive
"It relieved symptoms of conjuctivitis including iching, dryness, soreness, buildup of mucus and sensitivity to light.  Symptoms seem to clear up quickly and render the patient non infectious after 24 hours of treatment.  It can be given to pregnant women with no adverse effects to the unborn child",positive
"The treatment benefits were that the skin on my face eventually returned to almost normal.  No more white scaly skin cells, no more red patches and lumps, which i think was inflammation, no more slight soreness, whilst using the cream.",positive
"My blood pressure levels were controlled quite well.  However,  they spike from time to time,  not dropping until I take another dose.",positive
"In general, I have enjoyed daily happy moods and more energy. I am able to focus on tasks better and can accomplish more each day. Mood swings, irritability, and temper outbursts are rare. I have gone from below-average to above-average coping skills. Feelings of worthlessness and suicidal thoughts no longer occur.",positive
The drug really did help the inflammation of the lungs and cut down on the cough.,negative
My skin looked much better and my pores became much smaller. Many people remarked that I had a much smoother look. Also kept wrinkles from forming.,positive
IT was to be for a sinus infection which was not able to be documented due to the immediate reaction to the drug. IT is normally prescribed for its antibiotic effect on the respiratory system.,negative
"Relieved pain, helped me fall asleep",negative
"none since could not continue treatment & diagnosis was made from routine, post-menopausal bone-density test (I was not having symptoms).",negative
I gave up the drug within one week and dint expect any benefit within such a short time period,negative
excellent birth control,positive
"I didn't get pregnant, because at the time, I didn't want to have another baby.",negative
"there were excellent benefits including the reduction of extereme burning sensation in the stomach, throat and mouth. Also a reduction in bloating of the stomack and cramps. i was also able to eat a more varied diet without the awful symptoms of burning and indigestion which normally accompany the acid reflux.",positive
My skin definitely looks smoother and firmer than it actually did when I was 38 and started on the Retin A.,positive
none,negative
Used for weight management and food intake control.  It is also supposed to give energy.  It definitely worked for cutting my appetite as long as I took it twice a day.  If I took it once a day at about 8 am I would feel hungry at about 5pm.  If I took it twice a day 8 am 10am I could make it to bedtime without being hungry.,positive
The medication was effective at preventing pregnancy,negative
The benefits are less depression and better mood. It took about two weeks until I started to feel better but now I feel I may need something a bit stronger as I feel I am too used to taking this medication. I plan to ask for a higher dosage or different medication.,positive
"I AM GOING THROUGH MENOPAUSE, UP EVERY 20 MIN. HOT FASHES/COLD FASHES, NO SLEEP AT ALL. MOODY. ( MAY BE FROM LACK OF SLEEP). ALL DAY WORKING ONE MIN HOT NEXT MINUTE COLD. I STARTED THE PREMPRO IT TOOK ABOUT  2-3 WEEKS BUT NOW I SLEEP THROUGH THE NIGHT NO HOT FLASH, NO COLDNESS AND NOT NIGHT/DAY SWEATING. MY MOOD HAS IMPORVED. I DID GO OFF IT  FOR 3 MONTHS AND ALL THE SYSTEMS CAME BACK. I WENT ON IT AND I WILL NOT GO OFF IT AGAIN. IT REALLY DID MAKE A DIFFERENCE FOR ME.",positive
"Dermatologist suggested trial of trimethoprim 2x per daily, once morning and once in the evening. Diminished acne resulted within the first month and more significantly for the following months. After 1 year, patient reduced to taking pill once per day.",positive
"After the first day on this drug, my ear pain was gone.  Sinuses cleared soon thereafter.",positive
Lessened depression,negative
The joint pain becomes considerably less within 24 hours of the shot.  I have more energy and almost no more nausea.,positive
"The benefits were not good, and this drug was very expensive and was not effective at all for the problem I was experiencing.  At the time when I was experiencing complications from the implants, I truly believed that my Doctor did not prescribed the drug in time.  The literature I read on this drug claims that it is more likely to work if used early in the treatment of Capsular Contracture.",negative
Reduced prostate pain.,positive
"It reduced some of the side effects of depression such as insomnia, frequent crying and feelings of hopeless.",negative
My eyelashes grew extremely long.,positive
WEIGHT LOSS 2 STONE,positive
reduce pain levels and resume daily life without interferance from pain. Reduce pain in order to proceed with physical therapy.,positive
The tetracycline helped to reduce acne lesions.,positive
Lexapro seemed to work well for me.  I suffered from panic attacks in the past and the Lexapro definitely helped with these.  The Lexapro also assisted with symptoms of depression.,positive
"Did not wake up in the middle of the night, HIGHLY IMPROVED quality of sleep, and improved body relaxation.  was able to stop using alcohol to stay asleep.",positive
Never got pregnant,negative
"Significant reduction in feelings of anxiety, angry feelings, and social anxiety. Normalizing of affect, increased ability to focus on tasks and to cope with minor stressors. I felt a sort of reorganization of my thought processes, no longer brooded interminably about minor failings or ineffective social interactions or the presumed opinions of others about my worth. No longer hypervigilant about social cues. ""So this is what it's like to be normal!""",positive
"checking myself considerably less, calm my mood swings, helped me think alot clearer,",positive
"I started using Retin A about 20 years ago in my late 20's to ward off wrinkles.
But even at .05% it was irritating and my skin would be fine one day and be peeling like a snake the next. When Retin A micro came out, my dermatologist reccomended it. It has worked much better with very little irritation. I use it nightly as the sun is supposed to render it inactive.I am 46 and with Botox have no wrinkles and little sagging",positive
My total cholesterol was lowered from 237 to 165 in 4 weeks. My HDL (good cholesterol) numbers were up and the LDLs (bad cholesterol) went down. My triglycerides were lowered as well.,positive
"I have had stomach troubles my entire life. When I was pregnant they were unbearable.  I could never take the pill because of nausea. I noticed that when I was 45 the nausea was associated with my cycle, becoming most intense just prior to my period.  My gastroenterologist prescribed Nexium, which I took for a year, maximum dosage, daily and then tapered off. Then the other symptoms above emerged. When I started with the progesterone all these symptoms subsided significantly and I rarely ever have stomach problems now.",positive
"Always prescribed together with topical antibiotics such as Klaron.  Quite effective in curing acne, but takes months and situation gets worse in the first week to month.",positive
"The runny nose would stop about 30 minutes after I used flonase, but would return again within hours after taking the medication. It definitely cleared my sinuses, but sometimes left my nose feeling dry. Probably better as a sinus clearer than at alleviating all allergy symptoms.",positive
"Allegra minimized the allergy symptoms without the side effect of drowsiness that is typical of over-the-counter allergy medications such as Benadryll.  After taking the drug, congestion is greatly reduced and the constant sneezing stops.  However, Allegra is not very effective for itchy, dry eyes, which continues to be a problem during peak allergy season.",positive
"lower blood presure,ability to exercise for a longer period of time with out chet pain, same activity while on coreg results in an average reduced heart rate of 20 beats per min.when off the drug exersise tolerance was greatly diminished resulting in angina",positive
"Cleared up the sinus infection quickly, felt effects almost immediately (less pressure, less pain, less pus being expelled)",positive
"it cleared up my skin not just from acne, but also from hyperpigmentation",positive
Dapsone treated the intensly itchy skin condition quickly and efficiently.  A gluten free diet alone did not relieve this condition.,positive
"Before Armour I was taking synthroid, and had huge weight gain, depression, mood swings, etc. After switching to Armour my brain cleared, I had less problem with at least keeping my weight on the same level, no muscle cramps anymore",positive
"My skin is clear and people have complimented me on the appearance of my complexion.  My rosacea is under control, my hyperpigmentation is fading",positive
"Completely cleared up the condition. Without using messy creams, or powders.  Prevented it from spreading to other body parts.",positive
"The drug worked on reducing/eliminating my situational feelings of depression.  Initially, it increased my energy and focus, and stopped the feelings of sadness.  It did not make me feel like a ""zombie"" and I felt connected to my emotions and the people around me, which I had heard was a side effect of other anti-depressants.",positive
"I switched from Diane 35, a birth control pills recommended specifically for acne and was very worried that the nuva ring would cause an acne flair up, as switching from Diane to Yasmine had. Fortunately my skin stayed just as clear and as a plus no more taking pills nightly",positive
Cleared up pneumonia infection.,positive
eliminated my pain which allowed me to function at an almost normal level. i was mostly bedridden prior to treatment,positive
"eased depression , helped sleep By submitting an online review, you agree that all information contained in your review is original and accurate, and that the submission of such content by you and the posting of such content by DrugLib.com do not and will not violate the rights of any third party. You also agree that all submitted reviews and copyright thereof become the sole property",positive
"well, the main treatment benefit was that it did help me go to sleep faster, even better than the melatonin that I was taking before i went to bed. Another benefit of taking this prescription drug was that it helped me with my anxiety. I have considerably much less anxiety than I did before taking this.",positive
"Increased productivity, ability to stay awake during the day.",positive
first cople week felt great swelling down no pain fulll of energy wanted to go jogging,negative
It stopped running nose and sneezing.,negative
"got relived from migraine , nausea, head aches

Works in 30 mins
It is oral tablet available in both 5mg and 10mg dosages",positive
none,negative
"I must have tried 15 different blood pressure meds over the last 7 years.  None of them worked.  I was on Benicar, but the insurance no longer covered it.  So my Dr. switched me to Losartan.  WOW, what a difference.  I now have perfectly normal blood pressure.",positive
"allowed me to focus on the tasks at hand, run a business and get things accomplished",positive
"I have trouble sleeping -- I usually toss and turn all night, sleep a couple of hours and wake up.  Normally, I never get a complete night's rest.  After my doctor prescribed Lunesta, it was the first time in a very long time, that I was able to sleep from the time I laid my head on the pillow until my alarm sounded in the morning.",positive
"I am able to fall alseep within the 30 minutes of taking the drug. The drug helps with anxiety so I worry less while waiting to fall asleep.  I usually wake
up only once to use the bathroom compared to 2-3 times when I didn't have the drug. I wake up refreshed and it Cheap too.",positive
"no nausea, less vomiting.  able to get through work and school feeling better",positive
insomnia,positive
It took the edge off of my stress and anxiety level and helped me feel more present and even-keeled.  I started taking it during a difficult period and it helped lighten my mood.  I did not feel like I was numbed or that I was unable to feel highs and lows.,positive
"Generally effective in stabilizing mood fluctuations and controlling obsessive thought patterns, mild anti-depressive effect",positive
"Aromasin's treatment benefits are unknown.  I have not had a reoccurance of breast cancer while on the drug, though unsure we can attribute that with the drug treatment itself.  Perhaps there are other positive health-related items coming into play, such as exerciase and eating habits.  Not aware of any side effects or adverse reactions.  Drug is very expensive, however.",positive
"Resolve my itchiness and redness at both joints of my arms and the ""circular"" itchness spots went away couple days after application",positive
"Reduced pain, helped with sleep",positive
Eliminate yeast infection,negative
"I had very bad lower back pain with spasms and considerable swelling on my left side, to the extend that when standing, I was leaning to my right.  Flexeril took care of most of the pain and much of the swelling.",positive
"Completely ceased all anxiety, and I am now able to participate and enjoy life fully.",positive
"depression greatly reduced, anxiety lessened.",positive
short term relief from breathing problems. especially beneficial when patient was experiencing other health issue like cold or flu,positive
"enabled me to quit smoking, I think it works well, and even better combined with zyban/bupropion",positive
It worked but then I became addicted to methadone so basically it just traded one addiction for another. I don't take as many Methedone a day as I did pain pills because Methadone is long lasting so I guess it did help me.,positive
"60ml of Prednisone saved my cornea transplant.
Saved me from having to have another surgery on an already tramatized eye.",negative
"Vyvanse has greatly improved my mood and the way I look at the day .I am able to concentrate and finish a job. I am also in a much better mood than when just on the antidepressant. I am less  prone to get angry ,irritated ,impatient and to ""fly of the handle"".I take it after lunch and it keeps me going till at least 8 pm. I accomplish alot more in a day. And best of all feel good about myself.Vyvanse does not give you that dropped feeling when it is wearing off.",positive
"To tell the truth, I did not benefit very much from this medication, even though I was taking maximum doses, the pain remained almost the same with or without medication. Maybe some people are more responsive to these kind of treatment, unfortunately not in my case.",positive
"lowers blood pressure and helps prevent strokes. Helps the patient to function without the tingling, headaches, and chest pain that comes from having blood pressure too high.",positive
"Loss of depression, reprieve from PTSD symptoms",negative
Decreased Blood Glocose Levels. Decreased appitite. Less cravings for carbohydrates.,positive
"I began taking this medication during a very unstable period in my life and when I had been rapid cycling and experiencing mixed states, and over a 2 yr period it greatly helped increase my self-worth and overall stability. It helped me to get control of my life and avoid the severe depressions I was prone to, as well as putting a cap on my manias. I still felt mild highs or maybe natural euphorias but they are not manic-y and crazy. I even started being able to get sleepy at a normal hour and wake up in the morning. While on the medication I feel much clearer in general in my thoughts, so if I still feel down or up I am more confident in my ability to manage it. I feel like I am not overly leveled out and blah like I felt with Depakote, more like I avoid the worst and can be in control.",positive
"Pain, (which was not controlled by Acetaminophen w/Codeine #3), was reduced to a manageable state with Ketorolac.",positive
less depression/anxiety,negative
"The ointment kept the symptoms of the dermatitis(i.e. itching, scaling and cracking) to a minimum.  As long as the treatment was part of my daily regiment it was very effective.",positive
The Paxil relieved my anxiety and mild panic attacks at first. After time my doctor needed to increase the dose to get the same effect.,negative
"Regular use of Retin A cleared my acne dramatically. Initially, I experienced and increase in the presence of acne pimples and moderate redness and irritation. This lasted for a couple of weeks as my skin adjusted to the medication. Within about six weeks, I would guess my skin was 75% clearer. Over the past twelve years, I have experienced only rare pimples which resolved quickly with little or no discoloration. One important note: do not scrub the face with washcloths or any other abrasive products, and use plenty of moisturizer. Scrubbing makes the irritation and pimples worse.",positive
Total recouperation from a long battle with acid reflux and stomach pains.,positive
"Alleviated my despair, gave me back some control of my emotions and motivated me to work harder at managing my depression and get out of the house.",positive
This was recommended to me instead of Gaviscon.  Supposedly it was a better solution for my indigestion.  Instead it was a disaster.,negative
The benefit was a reduction the fatigue that I was feeling on a daily basis.,positive
"After weeks of use, I did see a considerable decrease in pimples on my face.  Being in my 40's, I saw a benefit in my skin tone also.",positive
"My headaches were less frequent, less severe, my PMDD symptoms decreased drastically.",positive
"I could not observe any benefits: my blackheads remained as they were, and acne remained. Probably my problem was not severe enough to see the results, however, due to no observed change I stopped using it.",negative
The pain was greatly diminished and I was able to live my life in relative comfort.,positive
"better sleep, less raciness",positive
"Started taking this drug in 2002 due to a high TSh reading, asymptomatic. Took it for 8 years raising my dose after about 5years from 50 mcg to75 mcg. Six months ago I developed panic attacks,speediness,anxiety,gastric issues,dizziness very suddenly with a sudden drop in my TSH from a steady 1.8-2.0 to as low as .20.  Continued to take the Levoxyl but dropped dosage back to 50mcg and hope to become asymtomatic shortly. Take Xanax for the panic attacks as needed. Am hoping to perhaps supplement the T4 with T3 Cytomel or something for the depression.",positive
"I used to have at least 3 herpes outbreaks in the course of a year. These would interfere with personal time with my spouse, backpacking trips, day to day comfort.  In the time I have taken Valtrex I have not had one outbreak, and don't have to think about it any longer.",positive
"I felt relaxed, could sleep, good drug to be lazy on. If I felt panicky and wanted to relax I could. I don't have alot of benefits to say because I think the grouchiness outweighs the good side effects to me!",positive
patient took this drug to help with concentration and focus problems occurring in a classroom environment with many distractions.,positive
Completely stopped hot flashes and night sweats. (I think there was also some mild improvement in skin thickness as well but it certainly did not end cellulite!),positive
"It took the ""edge"" off the pain, for sure.  Without the medication I don't know how I could have put up with it.",positive
Less pain in joints and back. Was able to do activities with my daughter  again. I stopped taking it for about 6 weeks and noticed a significant increase in pain. When I resumed taking it and symptoms faded.,positive
The benefits of taking all these asthma medications is that I have been pretty much symptom free.  The Flovent has been particularly helpful in preventing flareups of my symptoms which has greatly reduced the need for my Albuterol.  The benefits of taking the Keppra is that I have only had one seizure episode since I began treatment in 2006.  The episode lasted only seconds.,positive
"Noticeably lowered blood pressure and stress level when taken.  If the patient missed a dose, he became more easily agitated.  When the Lipitor was administered, agitation would subside within 1/2 an hour.  The patient has a family history of hypertension, heart disease and sleep apnea.  Therefore, controlling hypertension is a major concern for this patient and may actually save his life.",positive
Regained hair growth. Minoxidil first increased hairloss (normal during the first weeks of using). New hair started to grow after around seven months. I have not regained my normal hairgrowth. The hairs itself have a slightly larger diameter and are bit more curled.,positive
"It started working immediately which was wonderful.  My energy level increased, I was more interested in going out rather than hiding in my house.  I've increased to 100mg 2x's a day.  I've lost approximately 25 pounds but I think that's because of an interaction from the Concerta & Lamotrigine.",positive
"Until 10 days ago never took an anti-depressant, GP encouraged me due to my fatigue, low mood, agitation and within 4-5 days I found myself much more laid back and smiling at people more, usually because something is said and I see a funny side to it.  I know it ism supposed to take 6 weeks to work but I am changed or else back to myself.  My husband is pleased as I have stopped shouting at him at the least thing.  I have more energy and much more optimistic",positive
"loss of stiffness and more mobility.  After a heavy weight workout, taking Miotrin relieved the stiffness and iflamation around lower back.  Next day mobility and flesibility was much greater, and less pain.",positive
"The treatment benefits for Renova are more skin clarity.  Also, i believe the freckles on ;my face are fading quite a bit.  The fine lines did not really get any better. My skin is not really that different to notice real changes",positive
i had clear clear skin. my skin was so acne free it looked like a photo shop picture. but that is the only positive to this birth control,negative
"Stopped hair loss, restored skin tone, normalized body fat/lean ratio, restored energy, restored normal sleep pattern and quality (had been waking feeling groggy, never felt rested)",positive
I have had excellent results with the drug.  I no longer have a negative or indifferent attitude towards life.  I am generally content and am capable of enjoyment.  I am still capable of feeling appropriate negative emotions but don't get stuck in them.,positive
Reduced symptoms of seasonal allergies.,positive
I dont have days that seem so dark that there is no hope for the future any more. If I am up set about something I can still function and not spend time hibernating and not functioning. I sleep regularly where before I had nights where I would not get any sleep at all. Activities are more enjoyable. I enjoy life more.,positive
"My mood swings lessened, only benefit",negative
"less hirsutism, reduction in acne, reduction in oily skin and oily hair",positive
lower top/bottom reading numbers. I really don't understand the readings but initially they were like 140/90. now they read 120/70.,positive
"Imitrex has been a godsend.  After years of suffering pain and interruption of life due to migraines, just one little pill, either at the onset of pain or even when migraine is full-blown and pain is reliefed within 30 minutes.",positive
It effectively treated my maxillary sinus infection.  No more smelly nasal discharge and I could see the result within the first day of taking this drug.,positive
Stopped the constant racing thoughts at night.  Finally could get some decent sleep.  Before I'd lay in bed for hours on end thinking and thinking over and over until I was nuts.  Now am able to sleep an entire night through with less paranoia to boot...,positive
reduced time to heal after an acne outbreak,positive
Xanax is extremely effective and works very quickly.I have also noticed that some days I might not need it at all.I neither smoke nor drink alcohol so do not consider myself an addictive personality.Just need some extra coping skills for highly stressful emotional domestic situations,positive
"Byetta will raise insulin production in the presence of increased blood glucose only, and do so gradually. It reduced my post prandial readings substantially, and also (when taken at least 30-60 minutes before meals) slowed gastric emptying, allowing me to feel full quicker and eat less.",positive
I had swelling and pain in my knee from itbs and in my ankle from tendenitis and it took down the swelling,positive
Moderate relief from headache. Sometimes complete relief from the headache where I can continue on without a headache for several hours.,positive
"My name is Nick Gikas- I considered myself a bit of a playboy until I caught a dose off a 54 year old pre-op tranny hooker-$250 NOT well spent. However, after seeing my local friendly doc and spending considerable time in hospital, this stuff cleared up Mr Tiny in no time. However, my arse is still in tatters and I've had to downscale from marrows to cucumbers in my spare time.",positive
blood pressure in check just have to visit the doctor once a year blood pressure now is 80/130,positive
Fell asleep within 20 mins of taking the drug; sound sleep all night long; no hangover effect the next day.,positive
"Required only one application per month, rather than having to take a pill everyday. Was also a lower dosage than the pill, which seems better. Because it is not ingested there was no nausea.",positive
"Depression lessened considerably after 6-8 weeks.  Anxiety & depression not totally eliminated, but after initial 6-8 weeks of treatment patient was better able to deal with depressive thoughts and worry.  Allows patient to live a functionally normal life.",positive
I was able to reduce my dependence on Verapamil down to 240 mg. when I added the Diovan,positive
"Reduces the symptoms of pseudomonas chest infection for a few weeks, especially the haemoptysis.",positive
Lower blood pressure,positive
I felt immediate relief within 24 hrs - 2 tablets,positive
Cleared sinusitis very quickly. Ended a hacking cough after about a day as well.,negative
"Improved sleep, reduced night sweats.  I was experiencing extremely severe insomnia as a result of hormonal fluctuations.  I was down to about 2-4 hours of sleep a night and had tried many approaches, including meditation, herbal supplements, etc.",positive
"I lost 40lbs the first time I took it in only 2 months and kept it off for 1 year. I gained 20lbs back after that. I'm taking it again now and loose back down to my normal weight, stop taking it and gain all the weight back plus some. I've done this three times now even with an extensive workout routine and very healthy eating habits.",positive
"This regimen eliminated, for the most part, the pain, stiffness, and exhaustion experienced with rheumatoid arthritis.",positive
Reflux under control,positive
My staph infection on my neck and legs started to clear up pretty quickly... within the 2nd day i noticed a huge difference.,positive
there was no more back pain so i felt relaxed. Tramadol also cleared migraines quickly.,positive
"The pimples become dry. At first there was formation of new pimples, but then pimples started gradually go away; overall the skin started looking healthier and cleaner.",positive
"No benefits, did not help the initial problem of the sinus infection",negative
"none-I'm still taking it until the bottle runs out (like 3 more months) but I'm not optimistic. My dermatologist said toe nail fungus is really hard to treat. I have it on my big toe and it's not pretty. I tried homemade remedies first-white vinegar, hydrogen peroxide and Vicks vapo rub (which didn't work either but I swear better than both of the medications) The I tried Naftin gel for 3 months and now the paint-on Penlac generic.",negative
"Drug offers reliable pain relief with little negative side affects. Pain in neck, left shoulder, arm and hand.  Numbness in hand and fingers. Did not experience any nausea, dizziness.",positive
reduced blood pressure and less water retention in legs and ankles,positive
The drug got rid of the acne but the problem reoccurred a year later,positive
"Premarin had a postiive effect on my moods, my skin was less dry and wrinkled and my weight gain distribution around my stomach decreased. In addition, my overall weight loss increased with proper diet and exercise. Prior to increased Premarin, this was not attainable.",positive
"When I was taking the medication it did lower my cholesterol. I cannot recall my exact cholesterol levels but they were high because at 30 years old my DR prescribed Lipitor. When my Dr. resteted my cholesterol levels he was impressed. Lipitor worked wonderfully and I was out of ""dangerous"" cholesterol levels.",positive
Stopped the body's reaction to anxiety attacks,positive
"stomach did not hurt any more. no more reflux in the middle of the night.I did not have to take it with any regard to food. the once a day dose mad it easy,did not have to take doses with me to work.",positive
Worked very well to relieve depression and anxiety.  Left me feeling overall much calmer and more content.  Little things just wouldn't bother me anymore.  I stopped caring about things that used to upset me.,positive
"After 4 to 5 days on the medication, Claritin greatly reduces itchiness, sneezing, scratchy throat associated with seasonal allergies",positive
none,negative
"Been using retin-a for 9 yrs but had to start adding doryx due to resent cystic acne around my chin area, i noticed within a few days my skin has been glowing and my pores are much smaller. Its cleared up 80% of my acne and still seeing improvement",positive
The burning in the legs are now tolerable.,positive
Doryx taken to eliminate bateria that causes acne,positive
I was led to believe my bone density would improve with this drug and it would only need to be administered once a week.,negative
I have had asthma for years and take albuterol.  I heard about this new inhaler from a physician at work. He stated that it was a more pure form of the drug.  At the time he stated it was expensive to get. At the same time we were finding out that albuterol was being discontinued.  The replacement had a horrible taste to it. My son who has severe asthma was even refusing to take the new inhalor. I asked my physician for it specifically at my next visit. He did not hesitate to provide me the prescription.  My insurance company doesn't pay much of anything so I worried they would not cover it and they did.  I was very happy that it worked so well with no funny taste.,positive
they helped to reduce headaches that I had been sufferein over a period of over 2 years,negative
It somewhat relieved my heartburn for a few days.,negative
To start with a numbness to the pain then my life was turned upside down.,negative
eliminates stuffiness.  best when applied after one dosage of over the counter (afrin ) or similar.,positive
Acne healed quickly with no other adverse reactions to the drug.,positive
Immediately controled palpitations associated with mild to moderate mitral valve regurtitation,positive
it gave a little respons but once we stop applying the spots appear again so it is frustating to keep on applying.it is not a cure but just a satisfaction.,negative
None!,negative
When taking the Accutane I noticed a decrease in the amount of acne I had on my face over the course of the treatment.,positive
"The combination of Lamictal and Effexor eliminated severe mood swings betweens hypomania and depression, and made my depression manageable.",positive
"I was excited to have only 4 periods per year, but I never got that far, as I quit taking it after six days because of severe depression, crankiness, fatigue, uncontrollable hunger  water retention and weight gain.",negative
will see with time photo damage reduction.  Sun exposure ++ growing up in South Africa so fine lines and facial scar due to dog bite.  I have some medical training so am interested to see if any skin improvement,positive
"I found that I actually felt worse rather than better, the only benefit was that with  imovane I could sleep at night which I couldn't do earlier. I never really felt rested though. I am not sure if the combination of these 3 drugs caused my anxiety to become worse. Venlafaxine was supposed to help my depression but I found it totally ineffective. I am wondering if I get a higher dose will it help but I am afraid it might make it worse . WOuld love to go off all of these medicines as I feel the side effects are worse than the depression",negative
"I had my first migraine at age 10 and suffered for almost 60 years. Then Imitrex--a miracle!  Imitrex, finally, gave me my life back. As I get older and am now retired (72) and have less stress, I use the stat dose once or never during the year. The 50mg tablet usually returns me to normal within an hour. A ""generic"" has become available but is less Imitrex and more Naprosin, an anti-inflammatory,  which is cheaper for the manufacturer but not good long-term for the patient. My doctor is keeping me on the brand name. However, Humana has dropped Imitrex coverage, not wanting to pay the high cost, which never gets lower as the manufacturer won't release the patent.  Now I'm worried, having to pay the entire cost myself, which is impossible.  It's a horrible dilemma.  I can't pay for it and they won't.  What now?",positive
I had swelling and pain in my knee from itbs and in my ankle from tendenitis and it took down the swelling,positive
"Did not get pregnant, regular periods.",negative
"Occasionally, acne would subside slightly.",negative
I have found the product to be the only thing to work for autoimune Ulcerative Cholitis.    I was diagnosed with UC at age 43 after extensive testing.   Tried several other products and supplements to keep UC in remission but none have been effective.  The price is very expensive and is out of the reach of those without insurance cost is in the price range of $900 per months.   The company that makes the drug does offer programs for the non insured to receive at very substantial discounts or at no cost,positive
"I noticed an improvement in my thinking within 3 days.  I began to think more positive and objective.  I also began to sleep much better, to much for quite a while.  After a couple weeks, I was not nearly as depressed and it kept getting better.",positive
The Sulfer drug helped reduce abdominal inflammation and reduced pain felt with Crohn's flare ups.,positive
I am 28 and had acne like a 16 year old the day before the prom. It was horrible and embarrassing. This was an experiment. We had no idea if it would even work. We started at 50mg twice daily and then went to the 100mg when there were no results. My face is flawless now. I am also sleeping better which I don't think is a coincidence.,positive
"Patient was in second year of law school when began taking Lexapro; anxiety lessened as did depression, however didn't improve motivation to study.",positive
"It kept me at a low-functioning level (work and occassional activities), which was an improvement for me.  It kept me functioning due to decreased depression.  I had taken it for a few years on and off before finally switching to another drug two days ago due to the drug becomming no longer effective.  When I was younger and the drug was new to me it was much more effective.",negative
Benefits were I was able to stay awake during the day. And now that I have esophageal cancer I strongly believe Nuvigil is a big help with the side effects of chemoradiation treatments.,positive
"More mellow mood. Just taking Wellbutrin alone wasn't enough. I am a mild bipolar and needed something to balance out my moods. I have both depression and anxiety. And do not sleep well. That's why I was on Ambien, too.",negative
The drug was very effective at first at getting me out of depression.  However it lost effectiveness over time and the side effects became worse over time.,negative
Some reduction of pain,negative
"I had severe anxiety attacks and once they would start it was very difficult to decrease their intensity.  My heart beat got as high as 160bpm on two occasions.  I found the .25mg Xanax pills to be very strong so I only would take 1/4 of a pill, which was enough to stop the attack or prevent one if I felt one coming on.",positive
"Metrogel 1% significantly improved the redness on my cheeks, nose and chin within 3 weeks of use and reduced breakouts of papules due to rosacea triggers.  It was easy to use with no drug interactions.",positive
"The tremor is most noticable in my hands, with fatigue my head also becomes tremulous. Inderal is the most effective medication I have taken to control the tremor. Benzodiazipines were tried early on and were ineffective.",positive
"Since starting the plavix and other meds, I have had no strokes.",positive
None/ had to many painful side effects.,negative
Practically pain-free. Durins a flare-up I sometimes take a 50 mm pill in order to get more short term relief as opposed to the extended release pill.,positive
